-6/s/(s+3)	-4*exp(-3/2*t)*sinh(3/2*t)
1/2/(-8*s+6)/s/(-1/2*s-4)	2/105*exp(3/4*t)+1/560*exp(-8*t)-1/48
37/(1/5*s+38/5)/(3*s-15)	370/129*exp(-33/2*t)*sinh(43/2*t)
1/8/(s+6)/s	1/24*exp(-3*t)*sinh(3*t)
24/(s-7)/(s-3)	12*exp(5*t)*sinh(2*t)
-5/2/s/(-s-5)/(-s-13)	1/16*exp(-5*t)-5/208*exp(-13*t)-1/26
-1/12/(s+9)/s^2	-1/108*t+1/486*exp(-9/2*t)*sinh(9/2*t)
5/(-s-1)/s/(5*s-15)	-1/4*exp(-t)-1/12*exp(3*t)+1/3
-13/(-s+5)/s	26/5*exp(5/2*t)*sinh(5/2*t)
1/(-3*s+21)/(s+3)/(-s-4)	1/330*exp(7*t)+1/33*exp(-4*t)-1/30*exp(-3*t)
52/s^2	52*t
14/(5*s-30)/(8*s+80)	7/160*exp(-2*t)*sinh(8*t)
49/36/(-s-9)/s^2	-49/324*t+49/1458*exp(-9/2*t)*sinh(9/2*t)
3/(-s+2)/(-s-3)	6/5*exp(-1/2*t)*sinh(5/2*t)
1/(-1/7*s+5/7)/(-s-4)/(-8*s-2)	-1/54*exp(5*t)+2/45*exp(-1/4*t)-7/270*exp(-4*t)
-1/3/(-s+2)/s/(-2*s+4)	-1/12*t*exp(2*t)-1/24+1/24*exp(2*t)
10/(-s+6)/(-s-13)	20/19*exp(-7/2*t)*sinh(19/2*t)
1/2/s/(-s-8)/(s-9)	-1/272*exp(-8*t)+1/144-1/306*exp(9*t)
1/(5/8*s-3)/s/(-9*s-54)	-5/1458*exp(24/5*t)-2/729*exp(-6*t)+1/162
-1/8/(1/12*s-3)/(-s-16)	3/52*exp(10*t)*sinh(26*t)
1/3/s/(-s+11)/(s+4)	-1/180*exp(-4*t)+1/132-1/495*exp(11*t)
-7/(-1/6*s+5/6)/s^2	-42/5*t+84/25*exp(5/2*t)*sinh(5/2*t)
1/6/(-1/5*s+6)/(-1/5*s+3)/s	1/108*exp(30*t)-1/54*exp(15*t)+1/108
-8/(-s+8)/s^2	-t+1/4*exp(4*t)*sinh(4*t)
-2/s^2/(1/8*s-1)	2*t-1/2*exp(4*t)*sinh(4*t)
-3/(-4*s+4)/s^2	-3/4*t+3/2*exp(1/2*t)*sinh(1/2*t)
1/14/s^3	1/28*t^2
-8/3/(s-8)/s/(s+7)	-1/45*exp(8*t)-8/315*exp(-7*t)+1/21
1/12/s^2/(-s-5)	-1/60*t+1/150*exp(-5/2*t)*sinh(5/2*t)
