a	art.一（人，事，物），每一，任何一
abandon	n.放任，放纵 v.离弃，抛弃，放弃，停止（支持或帮助）
ability	n.(办事)能力，才能，才干
able	a.有才能的，能够的
abortion	n.流产；人工流产
about	关于
above	prep.在…之上
abroad	ad.海外；到处；广泛
absence	n.缺席；缺乏，缺少
absolute	n.绝对真理 a.绝对的，完全的；十足的，确实的
absolutely	ad.（强调真实无误）绝对地
absorb	vt.吸收(水、热、光等)；吸引（注意），吞并，同化，理解，掌握
abstract	a.抽象的 n.摘要，梗概 vt.提取；摘录要点
abuse	n.滥用，妄用，恶语，虐待 vt.滥用（以致危害的），妄用权力，虐待
academic	n.高校教职人员 a.(高等)教学的；学术的
accelerate	vt.(使)加速；(使)增速
accent	n.口音，着重点，重音 v.强调
accept	v.接受，认可
acceptable	a.值得接受的
acceptance	n.接受，认同
access	n.通道，入径，(使用或见到的)机会，权力 v.访问，存取，使用
accessible	a.可接近的；可进入的；可使用的，易懂的，易打交道的
accident	n.意外的事件；交通事故，不测
accommodate	vt.向…提供住处；对...予以照顾性考虑，容纳，顾及
accompany	vt.陪伴，陪同；和...一起发生(存在)，用钢琴伴奏
accomplish	vt.完成(任务等)
accomplishment	n.成就，才艺，专长，完成
according	v.给予，授予(权力地位等)，(与...)一致 adj.依照(用于习语中)
account	n.叙述；报告；户头；帐目，赊欠 v.认为是，视为
accountability	n.责任，负有责任，衡量计算，(档案)保管责任
accounting	n.会计(学) v.认为是，视为
accuracy	n.精确（性），准确（性）
accurate	a.准确的；精密的
accurately	ad.精确地，准确地
accusation	n.起诉，控告，谴责，告发
accuse	v.控告，控诉，谴责
achieve	vt.完成，实现；(凭长期努力)达到，得到(目标，地位，标准)
achievement	n.完成，达到；成就，成绩，功绩
acid	n.酸 a.酸的，尖刻的
acknowledge	vt.(公开)承认；感谢，告知收悉
acquire	vt.(通过努力、能力、行为表现)取得；获得；学到，习得
acquisition	(知识、技能等的)获得，得到，(多指贵重的)购得物，购置，收购
across	prep.&amp;ad.由这边到那边；在…对面；横过
act	n.行为，举动，法案 v.做事，行为，举止，假装
action	n.行动；动作过程，起诉 v.务必做，确保处理(某事)
active	n.主动语态 a.(尤指体力上)活跃的，定期进行的，起作用的
actively	adv．积极地，活跃地，主动地
activist	n.激进分子，积极分子
activity	n.活动，热闹状况，活跃
actor	n.男演员
actress	n.女演员
actual	a.真实的；实际的，(强调事情最重要的部分)真正的
actually	ad.(强调事实)真实地；实际地，(表示惊奇)居然，竟然，礼貌的纠正他人
ad	(=Anno Domini)［拉］公元后 , n.广告
adapt	vt.改编
add	v.添加；增加；加起；做加法
added	a.多用的，增加的
addition	n.附加物
additional	a.附加的；补充的
address	vt.用(某姓名或头衔)称呼(某人)
adequate	a.足够的
adjust	v.调节
adjustment	n.调整
administer	vt.掌管,料理；施行；给予
administration	n.行政；管理，经营；行政机关；政府
administrative	a.管理的, 行政的
administrator	n.管理者
admire	v.钦佩；佩服；赞赏
admission	n.准许进入；准许加入；入场费
admit	vt.承认
adolescent	n.青少年；青春期的
adopt	vt.收留
adoption	n.采取，采纳，采用
adult	n.&amp;a.成人(的)
advance	n.预付；借贷
advanced	a.高级的，高难度的，高深的
advantage	n.利益；便利；优势
adventure	n.惊险
advertising	n.广告，促销宣传品
advice	n.劝告
advise	vt.忠告；劝告
adviser	n.顾问
advocate	n.辩护者；律师；提倡者 vt.提倡，拥护
aesthetic	a. 美学的，有关美的
affair	n.事，事情，事件
affect	vt.影响
afford	v.花得起
afraid	Afraid adj.(表语)怕，害怕 , adj．害怕的
African	a.非洲的 n.非洲人
African-American	非洲裔美国人(指美国黑人)
after	prep.在…之后
afternoon	n.下午
afterward	ad.然后
again	ad.再
against	prep.逆；违反
age	n.年龄
agency	n.公私机构；代理处；经销处
agenda	n.意图，计划
agent	n.经纪人；媒介物
aggression	n.进攻；侵略；侵犯；侵害
aggressive	a.(好)侵略的；侵略性的；积极进取的
ago	a.&amp;ad.以前
agree	v.同意；相合；一致
agreement	n.相合；一致；同意；契约；协议
agricultural	a.农业的
agriculture	n.农业；农事
ah	int.[表痛苦，惊奇]
ahead	ad.朝前；在前
aid	vt./n.帮助；援助
aide	n.助手，副官
AIDS	n.艾滋病，即获得性免疫缺损综合症
aim	v.瞄准 n.瞄准；目的
air	n.空气
aircraft	n.飞机，航空器
airline	n.航空公司
airplane	n.飞机
airport	n.航空站，机场
aisle	n.过道，走廊
alarm	n.惊慌；惊恐；警报；警号
album	n.粘贴相片、邮票等的空白的簿册；唱片集
alcohol	n.酒精；酒
alien	adj.奇怪的，不同性质的
alike	a.一样的，相似的
alive	a.活的
all	ad.全部；都
allegation	n.(有待证实的)指控
alleged	a.被指控的，嫌疑的
allegedly	ad.据说
alley	n.弄，小巷
alliance	n.同盟，联盟
allow	vt.允许
ally	n.同盟者；同盟国
almost	ad.几乎
alone	ad.独自；单独
along	prep.沿着；往前
alongside	prep.&amp;ad.和(...)在一起；在(...)旁边
already	ad.已经
also	ad.也
alter	v.改变，变更
alternative	n.供选择的东西；供替代的抉择
although	conj.虽然
altogether	ad.完全地，一共，总共，总而言之
aluminum	n.[化]铝
always	ad.总是
AM	am v.是(接在&quot;I&quot;后面) , A.M.(a.m.)上午
amazing	a.惊人的；惊奇的
ambassador	n.大使
ambition	n.抱负；野心
ambitious	a.有雄心的；野心勃勃的
amendment	n.对文件等所作的次要的修改或增添
American	american n. 美国人 , a.美洲的 n.美国人
amid	prep.在…之中
among	prep.在…之中
amount	n.数量
analysis	n.分析
analyst	n.分析家，分析员，化验员
analyze	vt.分析
ancestor	n.祖先，祖宗
ancient	a.古代的，古老的
and	AND 逻辑与 , conj.和；又；而且
angel	n.天使
anger	n.愤怒 vt.使发怒，激怒 vi.发怒
angle	angle v.(用暗示等方法)取得，谋取 n.角，角度 , n.盎格鲁人
angry	a.生气的
animal	n.动物 a.动物的
ankle	n.踝；踝关节
anniversary	n.周年纪念日
announce	v.宣布，通告
